CompanyName,Sector,Stage,Fund_Amount,HeadQuarter,What_it_does,Funding_Year,Founders,Investor,Founded
FoodBuddy,FinTech,Seed,876000.0,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018,,,
Ninjacart,FinTech,Series B,36500000.0,Bengaluru,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018,,,
Olly Smart Credit Card,FinTech,Seed,3000000.0,New Delhi,Olly is a digital credit card for India's working masses and young people.,2018,,,
Zestl,FinTech,Seed,3000000.0,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018,,,
BYJU’S,FinTech,Private Equity,540000000.0,Bangalore,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018,,,
Wakefit,FinTech,Venture - Series Unknown,9490000.0,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018,,,
Hero Electric,FinTech,Venture - Series Unknown,23360000.0,New Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018,,,
Pentation Analytics,FinTech,Seed,3000000.0,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018,,,
PerkFinance,FinTech,Seed,900000.0,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018,,,
Roposo,FinTech,Series C,10000000.0,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018,,,
Plum Goodness,FinTech,Series A,3000000.0,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018,,,
Drstore,FinTech,Seed,3000000.0,Mumbai,Drstore is a exclusive e- commerce platform.,2018,,,
Wow Venue,FinTech,Venture - Series Unknown,1500000.0,Mumbai,Wow Venue is an online platform.,2018,,,
Chizel,FinTech,Seed,3000000.0,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018,,,
OTO Capital,FinTech,Seed,730000.0,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,2018,,,
Boodmo,FinTech,Seed,1022000.0,Gurgaon,boodmo.com - large online marketplace for auto parts in India.,2018,,,
Khabri,FinTech,Seed,3000000.0,Haryana,Khabri is a digital audio platform for content in vernacular.,2018,,,
MyNewCar.in,FinTech,Venture - Series Unknown,1000000.0,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018,,,
HalaPlay Technologies,FinTech,Series A,5000000.0,Bangalore,A daily fantasy sports platform.,2018,,,
PlanetSpark,FinTech,Seed,233600.0,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018,,,
WheelsEMI,FinTech,Series B,14000000.0,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018,,,
Forum for Innovation Incubation Research and Entrepreneurship,FinTech,Grant,1496500.0,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018,,,
OYO,FinTech,Series E,100000000.0,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018,,,
Quikr,FinTech,Debt Financing,8030000.0,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018,,,
Tabono,FinTech,Seed,3000000.0,Gurgaon,Tabono is a one stop environment for all your fitness solution.,2018,,,
LearnApp,FinTech,Seed,292000.0,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018,,,
Shopkirana,FinTech,Venture - Series Unknown,2000000.0,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018,,,
Fric Bergen,FinTech,Venture - Series Unknown,3000000.0,Alwar,Fric Bergen is a leader in the specialty food industry.,2018,,,
Articbot,FinTech,Grant,17520.0,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018,,,
BuildSupply,FinTech,Series A,3650000.0,Gurgaon,India’s most advanced ERP system for the real estate,2018,,,
Fusion Microfinance,FinTech,Series E,75920000.0,New Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018,,,
Any time Doctor,FinTech,Angel,3000000.0,Chennai,Anytime Doctor is a Software company.,2018,,,
Go Payments,FinTech,Corporate Round,3000000.0,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018,,,
Guiddoo World,FinTech,Seed,800000.0,Mumbai,We build In-Destination Experiences!,2018,,,
ION Energy,FinTech,Venture - Series Unknown,1041000.0,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018,,,
UnoTag,FinTech,Pre-Seed,100000.0,Bangalore,SaaS to verify counterfeit,2018,,,
CivilCops,FinTech,Pre-Seed,100000.0,Gurgaon,Gov-Tech,2018,,,
Rockmetric,FinTech,Grant,3000000.0,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018,,,
Classworks India,FinTech,Undisclosed,1460.0,Chennai,"Saas, Web App, Mobile App, School Education",2018,,,
Snapmint,FinTech,Seed,3000000.0,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018,,,
artbandhu,FinTech,Pre-Seed,15000.0,Bangalore,Ai platform for Art and Creative Community,2018,,,
Survaider,FinTech,Seed,500000.0,Bengaluru,Stethoscope for customer feedback !,2018,,,
Credy,FinTech,Seed,1400000.0,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018,,,
iChamp,FinTech,Seed,5000000.0,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018,,,
Qandle,FinTech,Seed,1200000.0,Gurgaon,A cloud-based HR management and employee engagement platform.,2018,,,
Avishkaar Box,FinTech,Seed,730000.0,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018,,,
Gegadyne Energy,FinTech,Angel,3000000.0,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018,,,
HyperXchange,FinTech,Series A,1000000.0,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018,,,
Deftouch,FinTech,Seed,3000000.0,Bangalore,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018,,,
Doodhwala,FinTech,Seed,2200000.0,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018,,,
DronaHQ,FinTech,Angel,500000.0,Mumbai,DronaHQ is an enterprise mobile engagement platform.,2018,,,
FastFox,FinTech,Series A,1460000.0,Gurgaon,FastFox: Market Network for Home Rentals (India),2018,,,
BuyForexOnline,FinTech,https://docs.google.com/spreadsheets/d/1x9ziNeaz6auNChIHnMI8U6kS7knTr3byy_YBGfQaoUA/edit#gid=1861303593,2000000.0,Bangalore,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018,,,
Colive.in,FinTech,Seed,1800000.0,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018,,,
Agricxlab Private Limited,FinTech,Seed,500000.0,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018,,,
Corefactors,FinTech,Seed,3000000.0,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company.",2018,,,
Fincash.com,FinTech,Seed,150000.0,Mumbai,A startup in the personal finance space in India .,2018,,,
Pandorum Technologies,FinTech,Series A,3600000.0,Bengaluru,Bengaluru based biotech startup.,2018,,,
Shirsa Labs,FinTech,Seed,500000.0,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018,,,
PetSutra,FinTech,Seed,138700.0,Gurgaon,Gurugram-based Online petcare platform.,2018,,,
Awaaz De,FinTech,Angel,3000000.0,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018,,,
PinkBlue,FinTech,Seed,300000.0,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018,,,
Eduvanz,FinTech,Angel,500000.0,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018,,,
Rupeek,FinTech,Series A,6830000.0,Bangalore,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018,,,
Backpacker Panda Holidays Private Limited,FinTech,Series A,1400000.0,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018,,,
Shape (School Health and Physical Education),FinTech,Seed,200000.0,Pune,Physical education start up,2018,,,
Placio,FinTech,Seed,2000000.0,Noida,Placio is a student housing and a complete broker-free platform.,2018,,,
Aviom India Housing Finance,FinTech,Series A,2190000.0,New Delhi,Delhi based housing finance company.,2018,,,
GenRobotic,FinTech,Seed,3000000.0,Trivandrum,A Robotic Company.,2018,,,
HeyHolidays,FinTech,Seed,1000000.0,Bangalore,"HeyHolidays, a global player in online vacation rentals.",2018,,,
Pratilipi,FinTech,Series A,4300000.0,Bengaluru,Amazon's Kindle Direct Publishing for Indian Languages,2018,,,
SectorQube,FinTech,Seed,3000000.0,Ernakulam,SectorQube develops smart kitchen devices that make food automatically.,2018,,,
Food Memories,FinTech,Seed,3000000.0,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,2018,,,
ZAMROO,FinTech,Seed,3000000.0,India,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,2018,,,
Silversparro Technologies Pvt. Ltd,FinTech,Seed,300000.0,Gurgaon,Silversparro is a deep learning technology solution provider.,2018,,,
Creator’s Gurukul,FinTech,Angel,3000000.0,Gurgaon,A coworking space provider.,2018,,,
Emflux Motors,FinTech,Seed,364846.0,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,2018,,,
Tricog Health Services Pvt Ltd,FinTech,Series A,4000000.0,Bangalore,Predictive Healthcare Analytics Company,2018,,,
Scapic,FinTech,Seed,500000.0,Bangalore,Virtual/Augmented Reality Start Up .,2018,,,
6Degree,FinTech,Seed,400000.0,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018,,,
Chrysalis (EZ Vidya),FinTech,Seed,3000000.0,Chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,2018,,,
Ekincare,FinTech,Series A,1500000.0,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,2018,,,
Streo,FinTech,Seed,3000000.0,Gurgaon,"Live stream music from nightclubs, bars & festivals!",2018,,,
Groww,FinTech,Seed,120000.0,Kormangala,Groww offers a new way of investing money.,2018,,,
Cell Propulsion,FinTech,Seed,102200.0,Bangalore,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,2018,,,
Chezuba,FinTech,Angel,20440.0,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,2018,,,
Ontrack Technologies Pvt. Ltd,FinTech,Seed,3000000.0,Bangalore,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,2018,,,
Wealthtrust,FinTech,Seed,500000.0,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,2018,,,
Faclon Labs,FinTech,Seed,3000000.0,Mumbai,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,2018,,,
Awign Enterprises,FinTech,Seed,730000.0,Bangalore,Operations and manpower outsourcing startup,2018,,,
